Series has,Syntax,Description:
Serialization / IO / conversion,"Series.to_csv([path_or_buf, sep, na_rep, ...])",Write object to a comma-separated values (csv) file.
Serialization / IO / conversion,Series.to_dict([into]),Convert Series to {label -> value} dict or dict-like object.
Serialization / IO / conversion,"Series.to_excel(excel_writer[, sheet_name, ...])",Write object to an Excel sheet.
Serialization / IO / conversion,Series.to_frame([name]),Convert Series to DataFrame.
Serialization / IO / conversion,Series.to_xarray(),Return an xarray object from the pandas object.
Serialization / IO / conversion,"Series.to_hdf(path_or_buf, key[, mode, ...])",Write the contained data to an HDF5 file using HDFStore.
Serialization / IO / conversion,"Series.to_sql(name, con[, schema, ...])",Write records stored in a DataFrame to a SQL database.
Serialization / IO / conversion,"Series.to_json([path_or_buf, orient, ...])",Convert the object to a JSON string.
Serialization / IO / conversion,"Series.to_string([buf, na_rep, ...])",Render a string representation of the Series.
Serialization / IO / conversion,"Series.to_clipboard([excel, sep])",Copy object to the system clipboard.
Serialization / IO / conversion,"Series.to_latex([buf, columns, col_space, ...])","Render object to a LaTeX tabular, longtable, or nested table."
Serialization / IO / conversion,"Series.to_markdown([buf, mode, index, ...])",Print Series in Markdown-friendly format.
